#date	 step_count	mood	calories_burned	hours_of_sleep 	bool_of_active 	weight_kg
06-10-2017	5464	200	181	6	0	68
07-10-2017	7167	200	208	6	0	68
08-10-2017	9874	300	341	5	0	68
09-10-2017	4969	100	190	8	0	68
10-10-2017	8538	300	307	5	0	68
11-10-2017	9875	300	302	5	0	68
12-10-2017	4662	100	198	8	0	68
13-10-2017	6310	200	201	6	0	68
14-10-2017	7556	200	195	6	0	68
15-10-2017	9073	300	327	5	0	68
16-10-2017	9690	300	331	5	0	68
17-10-2017	9146	300	318	5	0	68
18-10-2017	9752	300	344	5	0	68
19-10-2017	6974	200	204	6	0	68
20-10-2017	5619	200	180	6	0	68
21-10-2017	6889	200	201	6	0	68
22-10-2017	8616	300	329	5	0	68
23-10-2017	9131	300	315	5	0	68
24-10-2017	4211	100	197	8	0	68
25-10-2017	4291	100	184	8	0	68
26-10-2017	8569	300	328	5	0	68
27-10-2017	9337	300	322	5	0	68
28-10-2017	8475	300	327	5	0	68
29-10-2017	4510	100	148	8	0	68
30-10-2017	6347	200	235	6	0	68
31-10-2017	5911	200	184	6	0	68
